Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Display_Size_inch,Display_Type,RearCam,FrontCam,Battery_mAh,Processor,Warranty_Years,Specs
Tecno,Tecno Pova 6 Neo 5G,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)",11999,15998.67,25%,4.3,6,128,6.67,HD+,108MP Rear Camera,8MP,5000, Dimensity 6300 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) Display; 108MP Rear Camera | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Phone
Oppo,OPPO A3x 5G,"OPPO A3x 5G (Starry Purple, 64 GB)",10599,14928.17,29%,4.2,4,64,6.67,HD+,8MP Rear Camera,5MP,5100, Dimensity 6300 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) HD+ Display; 8MP Rear Camera | 5MP Front Camera; 5100 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung Galaxy S24+ 5G,"Samsung Galaxy S24+ 5G (Cobalt Violet, 256 GB)",49853.5,61487.845,40%,4.5,12,256,6.7,HD+,50MP + 10MP + 12MP,12MP,4900, Exynos 2400 Processor,1,12 GB RAM | 256 GB ROM; 17.02 cm (6.7 inch) Quad HD+ Display; 50MP + 10MP + 12MP | 12MP Front Camera; 4900 mAh Battery; Exynos 2400 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Apple,Apple iPhone 15,"Apple iPhone 15 (Pink, 128 GB)",49853.5,61487.845,7%,4.6,8,128,6.52,Retina,48MP + 12MP,12MP,5160, 6 Core Processor Processor,1,"128 GB ROM; 15.49 cm (6.1 inch) Super Retina XDR Display; 48MP + 12MP | 12MP Front Camera; A16 Bionic Chip, 6 Core Processor Processor; 1 year warranty for phone and 1 year warranty for in Box Accessories."
Motorola,Motorola G34 5G,"Motorola G34 5G (Ocean Green, 128 GB)",11999,14998.75,20%,4.2,8,128,6.52,HD+,50MP + 2MP,16MP,5000, Snapdragon 695 5G Processor,1,8 GB RAM | 128 GB ROM; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 695 5G Processor; Vegan Leather Design; 1 Year on Handset and 6 Months on Accessories
Oppo,OPPO Reno14 5G,"OPPO Reno14 5G (Forest Green, 512 GB)",42999,47776.67,10%,4.5,12,448,6.59,HD+,50MP + 8MP + 50MP,50MP,6000, Dimensity 8350 Processor,1,12 GB RAM | 512 GB ROM; 16.74 cm (6.59 inch) Display; 50MP + 8MP + 50MP | 50MP Front Camera; 6000 mAh Battery; Dimensity 8350 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme P4 Pro 5G,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",28999,32953.41,12%,4.4,12,256,6.8,HD+,50MP + 8MP,50MP,7000, Snapdragon 7 Gen 4 Mobile Processor,1,12 GB RAM | 256 GB ROM; 17.27 cm (6.8 inch) Display; 50MP + 8MP | 50MP Front Camera; 7000 mAh Battery; Snapdragon 7 Gen 4 Mobile Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme P4 Pro 5G,"realme P4 Pro 5G (Birch Wood, 256 GB)",28999,32953.41,12%,4.4,12,256,6.8,HD+,50MP + 8MP,50MP,7000, Snapdragon 7 Gen 4 Mobile Processor,1,12 GB RAM | 256 GB ROM; 17.27 cm (6.8 inch) Display; 50MP + 8MP | 50MP Front Camera; 7000 mAh Battery; Snapdragon 7 Gen 4 Mobile Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung Galaxy A17 5G,"Samsung Galaxy A17 5G (Blue, 128 GB)",18999,21837.93,13%,4.2,6,128,6.7,HD+,50MP + 5MP + 2MP,13MP,5000, Samsung Exynos 1330 Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 5MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1330 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Oppo,OPPO A3x 4G,"OPPO A3x 4G (Ocean Blue, 64 GB)",8999,12855.71,30%,4.1,4,64,6.67,HD+,8MP Rear Camera,5MP,5100, 6s 4G Gen1 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 8MP Rear Camera | 5MP Front Camera; 5100 mAh Battery; Snapdragon® 6s 4G Gen1 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung M06 5G,"Samsung M06 5G (Blazing Black, 128 GB)",9820,13270.27,26%,4,4,128,6.7,HD+,Not Specified,Not Specified,5000,Not Specified,1,4 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Display; 50MP Rear Camera; 5000 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Iqoo,IQOO Z9s 5G,"IQOO Z9s 5G (Titanium Matte, 128 GB)",21980,25858.82,15%,4.4,8,128,6.77,HD+,Not Specified,Not Specified,5500,Not Specified,1,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP Rear Camera; 5500 mAh Battery; 1 year manufacturer warranty for device & 6 months for In-box accessories from the date of purchase
Realme,realme 14 Pro+ 5G,"realme 14 Pro+ 5G (Pearl White, 512 GB)",34999,39771.59,12%,4.4,12,448,6.83,HD+,50MP + 50MP + 8MP,32MP,6000, 7s Gen 3 Mobile Platform Processor,1,12 GB RAM | 512 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 50MP + 8MP | 32MP Front Camera; 6000 mAh Battery; 7s Gen 3 Mobile Platform Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Samsung,Samsung Galaxy A15 5G,"Samsung Galaxy A15 5G (Blue, 128 GB)",16899,21391.14,21%,4.3,8,128,6.52,HD+,50MP + 5MP + 2MP,13MP,5000, Dimensity 6100+ Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) Full HD+ Display; 50MP + 5MP + 2MP | 13MP Front Camera; 5000 mAh Battery; Dimensity 6100+ Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Oppo,OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 256 GB)",15999,18822.35,15%,4.4,8,256,6.67,HD+,32MP + 2MP,8MP,5100, Dimensity 6300 Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD Display; 32MP + 2MP | 8MP Front Camera; 5100 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo Y36,"vivo Y36 (Vibrant Gold, 128 GB)",14999,21737.68,31%,4.3,8,128,6.64,HD+,50MP + 2MP,16MP,5000, Snapdragon 680 Processor,1,8 GB RAM | 128 GB ROM; 16.87 cm (6.64 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 680 Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Oppo,OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)",15999,18822.35,15%,4.4,8,256,6.67,HD+,32MP + 2MP,8MP,5100, Dimensity 6300 Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD Display; 32MP + 2MP | 8MP Front Camera; 5100 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Oppo,OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)",15999,18822.35,15%,4.4,8,256,6.67,HD+,32MP + 2MP,8MP,5100, Dimensity 6300 Processor,1,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD Display; 32MP + 2MP | 8MP Front Camera; 5100 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
